track_title,artist_name,lyrics_polarity,lyrics_subjectivity,lyrics_joy,lyrics_sadness,lyrics_optimism,lyrics_anger,lyrics_language,lyrics_love_occurrences
VER-TE DORMIR,CARLAO,0.1115740740740741,0.46851851851851845,16.751224547624588,14.379434287548065,56.94894939661026,11.920396238565445,pt,9
In My Feelings,Drake,0.06132831289081292,0.46631869288119304,29.640114307403564,12.214888259768486,43.40065121650696,14.744341373443604,en,9
SOMETHING JUST LIKE THIS,"THE CHAINSMOKERS, COLDPLAY",0.21428571428571427,0.32619047619047625,5.448306165635586,8.332197740674019,71.0218757390976,15.197621285915375,en,0
Stereo Love,Edward Maya,0.1421768707482993,0.6445578231292517,2.6189314667135477,84.74894762039185,7.497900351881981,5.134222656488419,en,7
COLD HEART (PNAU REMIX),"ELTON JOHN, DUA LIPA",-0.15866666666666665,0.6013333333333335,9.80878695845604,50.77261924743652,22.24399410188198,17.174599692225456,en,0
DANCING WITH A STRANGER,SAM SMITH & NORMANI,0.22062937062937055,0.516200466200466,7.065553218126297,11.540636420249939,67.59527325630188,13.798537850379944,en,0
CLOSER,THE CHAINSMOKERS [+] HALSEY,0.18760262725779972,0.4220853858784896,9.686576202511787,36.5345373749733,38.524431362748146,15.25445394217968,en,0
MÃE,D.A.M.A,0.07838383838383839,0.4722222222222222,10.865291953086853,7.905114442110062,66.13952815532684,15.09006842970848,pt,3
WHERE SHE GOES,Bad Bunny,0.1482142857142857,0.6571428571428573,8.814553543925285,7.932043075561523,74.5625376701355,8.690869435667992,es,6
Work,Charlotte Day Wilson,-0.24375000000000002,0.44999999999999996,6.375893205404282,5.896810442209244,25.682616233825684,62.04468011856079,en,0
PERFUME,CALEMA,-0.02083333333333333,0.3,8.298256807029247,5.036265216767788,78.44641506671906,8.219066448509693,pt,7
disease,lady gaga,-0.13958333333333334,0.24583333333333338,11.080874875187874,21.40359804034233,43.000319600105286,24.515212327241898,en,0
Conversations in the Dark,John Legend,0.11057692307692306,0.524679487179487,15.282430499792099,26.106195151805878,11.336978897452354,47.27439731359482,en,4
Trevo,"Anavitória, Diogo Piçarra",0.32794117647058824,0.5573529411764706,10.856704413890839,8.045677095651627,68.4200793504715,12.677546963095665,pt,2
LOCKED OUT OF HEAVEN,BRUNO MARS,0.04365079365079362,0.4149470899470901,5.972513370215893,28.274416364729404,58.982397615909576,6.770675256848335,en,1
